Sample	likelihood	
0	-192244.01598507748	
100	-209739.733619503	
200	-234668.0341981838	
300	-231662.10181413015	
400	-245947.78055717167	
500	-248161.32237244045	
600	-262388.8739533912	
700	-258085.2010382501	
800	-274590.86818779056	
900	-271395.3078736049	
1000	-260873.5690906464	
1100	-255586.53894375532	
1200	-270998.8633197514	
1300	-279120.49369555153	
1400	-274422.4348366	
1500	-282812.26772168576	
1600	-274423.63043813285	
1700	-262053.9360600879	
1800	-285893.61401744885	
1900	-305016.6390492876	
2000	-310526.95835294033	
2100	-304012.68484525103	
2200	-311549.5530970668	
2300	-345088.5418515731	
2400	-323396.4796951887	
2500	-317309.97614214604	
2600	-299243.6391971869	
2700	-276242.9822497423	
2800	-279290.8318145426	
2900	-286815.65998705983	
3000	-284008.35330659733	
3100	-313006.92813852144	
3200	-298807.3641733295	
3300	-286786.9818801512	
3400	-290800.62275011954	
3500	-274399.72818283434	
3600	-274301.7973517552	
3700	-283361.25798842264	
3800	-275147.69315629324	
3900	-270630.7002648209	
4000	-270453.94081416837	
4100	-308039.0241793823	
4200	-302656.9812937507	
4300	-303335.70509030746	
4400	-304048.8371126605	
4500	-300033.14261809416	
4600	-314854.6602423973	
4700	-319576.3525838848	
4800	-313915.51584346633	
4900	-307073.78555566847	
5000	-302025.0761988779	
5100	-295401.0012630923	
5200	-287435.0207085361	
5300	-294466.06313717255	
5400	-298912.948559759	
5500	-311121.30471993354	
5600	-310021.12501297815	
5700	-308372.5368260285	
5800	-328966.82907998044	
5900	-334840.5624663866	
6000	-307377.9670834575	
6100	-305569.89399139176	
6200	-303081.46206889034	
6300	-299008.22196127597	
6400	-303518.22946045187	
6500	-292669.03965448507	
6600	-292570.18411894573	
6700	-298996.17518682865	
6800	-294974.3557268679	
6900	-315866.2838360812	
7000	-314015.32728072314	
7100	-313663.3883645971	
7200	-321508.5746774378	
7300	-327210.4528405559	
7400	-320814.6132164834	
7500	-314126.86989398085	
7600	-319314.37237105524	
7700	-319402.3983515628	
7800	-316887.5648043383	
7900	-307485.4931038115	
8000	-302151.91070565	
8100	-299991.9164587004	
8200	-295479.2712430032	
8300	-306562.5114406837	
8400	-280660.13672286103	
8500	-286266.5355005901	
8600	-280600.57119560905	
8700	-284510.2086719711	
8800	-278247.6026962712	
8900	-275893.9602580358	
9000	-281579.3796566376	
9100	-270108.9773332417	
9200	-277807.2311261506	
9300	-283573.3134352418	
9400	-293444.79481912963	
9500	-298624.7815519448	
9600	-289513.4606909256	
9700	-278170.5972246301	
9800	-280760.3645497222	
9900	-287940.8102591779	
10000	-284607.4940522232	
10100	-287346.15150485013	
10200	-279995.1705723158	
10300	-279149.72336758114	
10400	-285785.45675549604	
10500	-285418.96382852836	
10600	-276598.238062128	
10700	-270566.8693562512	
10800	-268340.03525354154	
10900	-275219.3526952797	
11000	-268435.43503656436	
11100	-270169.5784678368	
11200	-272362.7599913991	
11300	-272318.02182168816	
11400	-274382.53871702973	
11500	-259726.671760414	
11600	-275098.3549922468	
11700	-279331.1402303817	
11800	-279412.66993103625	
11900	-287231.5442766282	
12000	-280309.5362625054	
12100	-279081.10210615746	
12200	-274350.0981496447	
12300	-276411.14728897874	
12400	-280171.57208713755	
12500	-281665.01231553097	
12600	-292668.69775691413	
12700	-300078.4681899068	
12800	-288131.186458701	
12900	-305968.7265567968	
13000	-306244.16009335866	
13100	-304172.3638369981	
13200	-300810.3291776862	
13300	-293521.5275420926	
13400	-289031.0574138838	
13500	-288403.2327234198	
13600	-287770.3064076252	
13700	-285474.4454144611	
13800	-284331.5526620237	
13900	-270055.9510220977	
14000	-278938.65910933726	
14100	-289386.28832370666	
14200	-282684.77456736745	
14300	-274049.09993957425	
14400	-276650.38080366876	
14500	-296423.93090077146	
14600	-291991.0592894947	
14700	-285755.2984578114	
14800	-291971.9102114561	
14900	-286375.5878190766	
15000	-286806.9534262885	
15100	-282523.165296224	
15200	-286164.91912603576	
15300	-283035.3583727729	
15400	-285382.8653744057	
15500	-276049.768750011	
15600	-287251.3222306222	
15700	-281078.6742769924	
15800	-280688.146928343	
15900	-271012.5270470616	
16000	-278985.7509898454	
16100	-282752.54408861994	
16200	-270941.33946742327	
16300	-330230.2098495122	
16400	-278391.06315250206	
16500	-299096.74609042663	
16600	-319245.55428259383	
16700	-316224.5528648997	
16800	-291525.78335308924	
16900	-331993.0587938067	
17000	-320003.262127076	
17100	-302683.6899445523	
17200	-303092.50185880467	
17300	-286109.6154224452	
17400	-290343.6730307911	
17500	-292465.22020718065	
17600	-286614.9338531969	
17700	-322211.55327214056	
17800	-308047.16376673937	
17900	-295218.8712435056	
18000	-302816.31305347895	
18100	-300523.9829037706	
18200	-291391.90296150895	
18300	-301373.930109622	
18400	-300581.2677517877	
18500	-1073997.849524861	
18600	-1063855.6801232058	
18700	-585579.5996027912	
18800	-528027.609075612	
18900	-469241.72571180976	
19000	-366423.0210179984	
19100	-389750.8123508118	
19200	-465762.5612028809	
19300	-421981.8780814836	
19400	-395604.08725347236	
19500	-364755.43847726774	
19600	-295605.2143559548	
19700	-297878.8635643109	
19800	-277104.7750787733	
19900	-273887.8365608958	
20000	-278545.6301032049	
20100	-274478.27712105	
20200	-289157.2175430651	
20300	-284429.9603099442	
20400	-292871.795158651	
20500	-287285.7876297052	
20600	-293748.78026361787	
20700	-290780.76487577846	
20800	-291418.30028528767	
20900	-293758.2316477398	
21000	-288993.61240208417	
21100	-285720.5893822965	
21200	-287266.7486198066	
21300	-281498.56714078033	
21400	-270341.96989729267	
21500	-268468.08378677914	
21600	-300131.23912286584	
21700	-291499.9620362257	
21800	-307235.8310814248	
21900	-308145.8002311855	
22000	-324856.8885411118	
22100	-319857.4078955394	
22200	-324344.67836396856	
22300	-337941.14465093083	
22400	-339196.4573943152	
22500	-324801.5053977712	
22600	-324892.83412698156	
22700	-334161.4806228442	
22800	-328414.6731330169	
22900	-323979.5780979175	
23000	-322349.4682710326	
23100	-318316.8463122141	
23200	-296412.62903466565	
23300	-282892.79033286544	
23400	-280956.80974576	
23500	-298169.4968023185	
23600	-288310.44029140525	
23700	-304460.688641513	
23800	-291752.1314057295	
23900	-298327.3628424432	
24000	-322682.76578051865	
24100	-311155.5785890639	
24200	-307219.7585579294	
24300	-309008.94787534286	
24400	-286050.6484093237	
24500	-283436.91034962394	
24600	-320132.4469090626	
24700	-291515.97832677054	
24800	-294833.43697757996	
24900	-279927.9876821519	
25000	-285109.00553817104	
25100	-298943.87304004084	
25200	-278880.54280189483	
25300	-279689.15618309047	
25400	-272807.29292854486	
25500	-277672.95997922384	
25600	-287540.5892718066	
25700	-285442.6999674945	
25800	-285351.55300478067	
25900	-283329.68219893554	
26000	-281629.87271498033	
26100	-296364.3311287631	
26200	-294265.80365249055	
26300	-281385.51321675954	
26400	-302337.1796785571	
26500	-285983.3956204378	
26600	-299041.45503386843	
26700	-300359.53320221393	
26800	-292229.99047005846	
26900	-297495.8283931605	
27000	-292022.18035960913	
27100	-294010.3859459176	
27200	-308941.5431753279	
27300	-343247.1677094714	
27400	-318378.29633814783	
27500	-304430.7874964139	
27600	-277544.19251350913	
27700	-273813.1283788497	
27800	-294544.892998889	
27900	-290689.40477108356	
28000	-282805.0484163348	
28100	-291815.165397085	
28200	-298652.0492642872	
28300	-307036.2039957029	
28400	-316449.7126844163	
28500	-329649.14869145973	
28600	-316109.19811738154	
28700	-329744.1181733729	
28800	-320192.0988959607	
28900	-308390.7245308766	
29000	-302656.5139550762	
29100	-311081.4733191313	
29200	-315391.2321700155	
29300	-301923.55023155466	
29400	-298863.75537228375	
29500	-289764.9623198423	
29600	-298498.0766278339	
29700	-302137.8535182723	
29800	-297701.864296757	
29900	-295610.7825577396	
30000	-304702.35072105547	
30100	-286148.02507173974	
30200	-290831.22122467944	
30300	-296731.41115924774	
30400	-297313.50663200393	
30500	-288505.4393475283	
30600	-290045.9565941891	
30700	-293295.54192624526	
30800	-288331.9787712373	
30900	-289387.28101514874	
31000	-295153.8863537073	
31100	-292407.2970069614	
31200	-290717.3470795878	
31300	-302554.9773811393	
31400	-302457.24614605267	
31500	-310615.52143767086	
31600	-320580.71822036663	
31700	-321646.35021637887	
31800	-324832.4510661289	
31900	-311817.1745910328	
32000	-322267.6095100633	
32100	-299724.7721617109	
32200	-291635.6843780789	
32300	-296065.66964122176	
32400	-296578.5244868216	
32500	-282812.04354650783	
32600	-290419.79044497904	
32700	-294113.95717609074	
32800	-285952.34412689635	
32900	-279573.6865244208	
33000	-326521.286354956	
33100	-380534.7476066722	
33200	-395062.837245327	
33300	-428625.74264313956	
33400	-460511.9834552343	
33500	-443453.1734114979	
33600	-442536.67209907965	
33700	-427677.5591579783	
33800	-472220.9117778598	
33900	-499025.08247554046	
34000	-445583.2269835905	
34100	-440843.4914420866	
34200	-452233.1190013923	
34300	-368103.26051562664	
34400	-299001.3411789086	
34500	-304441.47317716456	
34600	-300740.6850621381	
34700	-298350.7190117058	
34800	-290947.7445301388	
34900	-290538.2163455295	
35000	-302290.6421904734	
35100	-287184.08585804445	
35200	-296802.9291513525	
35300	-299773.4360640612	
35400	-300685.84356776945	
35500	-310730.1744187504	
35600	-314820.457349943	
35700	-311142.3006567293	
35800	-312243.0685120913	
35900	-314287.54179711425	
36000	-306386.80560699286	
36100	-307169.3822307353	
36200	-300902.75029579934	
36300	-300922.19629434665	
36400	-307447.818276684	
36500	-304130.58198533265	
36600	-297501.6713864514	
36700	-293568.02295376715	
36800	-298600.40098621865	
36900	-300482.44268664776	
37000	-305298.3778742435	
37100	-299245.1873520429	
37200	-309926.5784067215	
37300	-304886.33221072296	
37400	-288894.57755692996	
37500	-297090.7486195237	
37600	-298890.7590562189	
37700	-299728.2190119169	
37800	-301037.05921168067	
37900	-304672.22051504225	
38000	-295774.69493862474	
38100	-291904.8061470154	
38200	-286561.57323300745	
38300	-308794.7938833802	
38400	-319650.3744056156	
38500	-347176.1228053162	
38600	-326294.90903909935	
38700	-315193.14657933166	
38800	-331966.9468082191	
38900	-721674.9960438813	
39000	-446580.35017115757	
39100	-513136.1166092977	
39200	-535516.5663209233	
39300	-463599.09644335805	
39400	-478645.484919282	
39500	-540388.0201348121	
39600	-540285.992738899	
39700	-347800.21198857477	
39800	-324354.074496926	
39900	-317138.5944798194	
40000	-342156.1612845202	
40100	-334071.342379904	
40200	-304189.69279962557	
40300	-288018.725519094	
40400	-277041.4640347037	
40500	-274470.0565715919	
40600	-273326.29441984405	
40700	-278525.5044035863	
