Sample	likelihood	
53700	-788725.8921492902	
53800	-788727.8786947079	
53900	-788732.9465940105	
54000	-788733.9575845553	
54100	-788730.0623335688	
54200	-788729.0949322396	
54300	-788728.3739306192	
54400	-788728.963222156	
54500	-788729.2881699585	
54600	-788729.0237779019	
54700	-788729.0237779019	
54800	-788719.1529396984	
54900	-788717.8853276918	
55000	-788710.9043498976	
55100	-788710.8194776647	
55200	-788713.967289664	
55300	-788715.8324982504	
55400	-788714.1312477972	
55500	-788714.8067062721	
55600	-788712.1313323111	
55700	-788709.5598800775	
55800	-788710.2801942512	
55900	-788709.7223798772	
56000	-788709.4067212844	
56100	-788710.9770372988	
56200	-788664.3997030704	
56300	-788664.3425804741	
56400	-788663.5523485442	
56500	-788662.2783760033	
56600	-788656.1304421753	
56700	-788653.1609006784	
56800	-788652.3722836177	
56900	-788644.5978141775	
57000	-788643.9229802435	
57100	-788644.6577593689	
57200	-788638.404480218	
57300	-788637.1489140542	
57400	-788638.5447955413	
57500	-788639.9466892346	
57600	-788639.1436419843	
57700	-788629.3826207342	
57800	-788040.6981522061	
57900	-787783.9188110621	
58000	-787783.6910368277	
58100	-787781.6706141706	
58200	-786453.3490831298	
58300	-786447.0211823821	
58400	-786446.3739663578	
58500	-786444.7301639684	
58600	-786437.6830330984	
58700	-786438.6236130672	
58800	-786427.634178713	
58900	-786404.0148003728	
59000	-786399.6792602269	
59100	-786391.2347548795	
59200	-786387.344611555	
59300	-786386.4467440713	
59400	-786375.8612845736	
59500	-786373.3954079279	
59600	-786370.5319439826	
59700	-786370.3276823562	
59800	-786368.030053579	
59900	-786367.3909168044	
60000	-786183.0284940199	
60100	-786182.2552456966	
60200	-786181.6163250871	
60300	-786175.7443419227	
60400	-786174.9957893202	
60500	-786149.0250855384	
60600	-786148.8269358551	
60700	-786151.4732184525	
60800	-786147.9465424987	
60900	-786130.0796120575	
61000	-786127.661612179	
61100	-786122.3117086346	
61200	-786117.3030416295	
61300	-786115.8531756758	
61400	-786115.3035102386	
61500	-786112.7259863403	
61600	-786089.4273344646	
61700	-786084.3405704803	
61800	-786083.810516431	
61900	-786081.5036744004	
62000	-786078.973702832	
62100	-786079.9162825219	
62200	-786066.1980898019	
62300	-786030.0087390095	
62400	-786031.313426701	
62500	-786029.7784353055	
62600	-786017.3500202617	
62700	-786016.8968962478	
62800	-786005.2952812337	
62900	-786006.450164154	
63000	-786003.7802842011	
63100	-785999.5624124402	
63200	-785994.4667339289	
63300	-785993.8128518761	
63400	-785994.6585792827	
63500	-785994.2843808135	
63600	-785991.4975209776	
63700	-785991.0772786933	
63800	-785948.3386851423	
63900	-785944.3135342663	
64000	-785943.8753182545	
64100	-785891.7217724959	
64200	-785892.3199584914	
64300	-785892.6804731074	
64400	-785892.2963839784	
64500	-785893.2169674467	
64600	-785891.8208617945	
64700	-785889.12739013	
64800	-785889.8577234438	
64900	-785889.5130177605	
65000	-785862.2501466146	
65100	-785863.7457108664	
65200	-785793.3133362926	
65300	-785795.4503601878	
65400	-785794.9488985317	
65500	-785796.3419900002	
65600	-785796.3419900002	
65700	-785794.6026539231	
65800	-785795.7501429474	
65900	-785794.0654062945	
66000	-785793.7368516867	
66100	-785792.5985750253	
66200	-785753.6802684884	
66300	-785750.6385724653	
66400	-785751.0164382621	
66500	-785750.0134876521	
66600	-785751.6444112392	
66700	-785754.4909991588	
66800	-785754.9097924096	
66900	-785753.2615483151	
67000	-785750.7220529699	
67100	-785750.3102012192	
67200	-785750.4703440738	
67300	-785750.6983329689	
67400	-785750.8489980104	
67500	-785752.8273851548	
67600	-785752.6132771953	
67700	-785754.6812970348	
67800	-785751.9241422623	
67900	-785751.3111023421	
68000	-785750.7737599516	
68100	-785747.6952318834	
68200	-785747.2937176451	
68300	-785746.7574943025	
68400	-785738.5268391136	
68500	-785737.3938828758	
68600	-785736.3726173509	
68700	-785737.2194652603	
68800	-785736.9344741722	
68900	-785732.6356498465	
69000	-785732.6818669304	
69100	-785731.0504637337	
69200	-785732.765987415	
69300	-785733.3243081499	
69400	-785722.9840193423	
69500	-785721.8832666092	
69600	-785722.3978696035	
69700	-785721.5234271177	
69800	-785720.6167295449	
69900	-785720.7045957621	
70000	-785718.2206030186	
70100	-785718.2206030186	
70200	-785720.4713451924	
70300	-785715.565306749	
70400	-785717.3469308405	
70500	-785715.9904706605	
70600	-785711.0677526105	
70700	-785713.4325335815	
70800	-785712.6186411586	
70900	-785712.6787848218	
71000	-785712.7504574659	
71100	-785713.7521258808	
71200	-785712.670929256	
71300	-785710.9673528712	
71400	-785713.6276798961	
71500	-785713.3667006205	
71600	-785711.571178242	
71700	-785710.7562747456	
71800	-785706.3796510497	
71900	-785706.4343247153	
72000	-785705.153061088	
72100	-785705.5492614458	
72200	-785707.1516554303	
72300	-785705.9413970691	
72400	-785698.4904985528	
72500	-785697.4587317308	
72600	-785697.482099911	
72700	-785697.2264871802	
72800	-785698.5594792608	
72900	-785697.9257129407	
73000	-785698.3857326426	
73100	-785693.0815604398	
73200	-785694.3851104176	
73300	-785693.7092130993	
73400	-785694.0104272406	
73500	-785695.320656073	
73600	-785691.9378276732	
73700	-785692.4670227289	
73800	-785692.1563569421	
73900	-785687.7919488173	
74000	-785689.3175505061	
74100	-785684.7147163863	
74200	-785685.2125022615	
74300	-785680.9834114552	
74400	-785679.0702258646	
74500	-785679.8287660128	
74600	-785681.3078182772	
74700	-785682.7398374046	
74800	-785683.268090986	
74900	-785682.6650585947	
75000	-785685.338562008	
75100	-785685.5892697427	
75200	-785679.334778055	
75300	-785679.7475944827	
75400	-785681.5255115002	
75500	-785667.4623525707	
75600	-785667.3228146358	
75700	-785658.1481003948	
75800	-785658.1450617108	
75900	-785658.7401302431	
76000	-785655.0622132192	
76100	-785653.5904570495	
76200	-785650.4740050873	
76300	-785652.6357403244	
76400	-785652.5449724045	
76500	-785649.735897566	
76600	-785651.7245537045	
76700	-785651.9722846024	
76800	-785651.8014353643	
76900	-785645.2009672092	
77000	-785644.8250023912	
77100	-785645.0356216959	
77200	-785644.0887805998	
77300	-785644.2672188097	
77400	-785645.526272411	
77500	-785644.9307237768	
77600	-785643.7781870438	
77700	-785642.201361229	
77800	-785643.9840021096	
77900	-785642.0598985944	
78000	-785618.0368124424	
78100	-785617.480400625	
78200	-785617.8584976969	
78300	-785619.6273063278	
78400	-785617.7621531889	
78500	-785619.5215619857	
78600	-785611.727429305	
78700	-785610.9328356488	
78800	-785599.8360271591	
78900	-785596.947557054	
79000	-785597.9797562056	
79100	-785596.6479484658	
79200	-785597.5132479388	
79300	-785597.0187566604	
79400	-785597.5258084735	
79500	-785596.2160203973	
79600	-785595.4272477368	
79700	-785595.22803382	
79800	-785593.3129649336	
79900	-785583.8972560036	
80000	-785584.8763165139	
80100	-785582.04535413	
80200	-785582.3800191524	
80300	-785582.4776795394	
80400	-785560.8428815927	
80500	-785560.3187710937	
80600	-785549.3088219614	
80700	-785550.8083733028	
80800	-785552.0663486911	
80900	-785550.4591479006	
81000	-785551.3817576916	
81100	-785551.2661043352	
81200	-785538.1519669981	
81300	-785537.1543706235	
81400	-785533.0524565667	
81500	-785532.9544863538	
81600	-785533.7105624249	
81700	-785529.2924718583	
81800	-785525.7924801335	
81900	-785524.3315038695	
82000	-785524.133474715	
82100	-785524.7781248167	
82200	-785529.510373531	
82300	-785528.8171953002	
82400	-785523.8908201774	
82500	-785523.182354148	
82600	-785524.1947582983	
82700	-785523.5724727202	
82800	-785523.7150326354	
82900	-785523.1576891764	
83000	-785523.3786266482	
83100	-785523.0662041045	
83200	-785522.1866492467	
83300	-785521.3429380298	
83400	-785522.4366036495	
83500	-785520.6902477051	
83600	-785519.2671807085	
83700	-785519.2566267406	
83800	-785516.9712142206	
83900	-785517.7131175802	
84000	-785518.1312216491	
84100	-785517.900652326	
84200	-785517.5269073775	
84300	-785518.2863815887	
84400	-785520.1656196994	
84500	-785518.8295628022	
84600	-785520.4902151064	
84700	-785521.3293123163	
84800	-785513.0466222592	
84900	-785509.5459058916	
85000	-785505.8872641663	
85100	-785505.669083998	
85200	-785500.4920193029	
85300	-785501.0792204173	
85400	-785502.4311121601	
85500	-785505.0664415775	
85600	-785460.3642454984	
85700	-785461.0945350659	
85800	-785461.2262453664	
85900	-785459.912616821	
86000	-785462.1731785167	
86100	-785421.8595931611	
86200	-785421.5361789733	
86300	-785406.4162899371	
86400	-785405.4726118417	
86500	-785403.8468753824	
86600	-785404.8092710419	
86700	-785403.089439261	
86800	-785406.7601186774	
86900	-785399.8436708113	
87000	-785399.0904222252	
87100	-785399.9472622761	
87200	-785220.0461860988	
87300	-785220.1316741443	
87400	-785220.3634143698	
87500	-785219.2569381944	
87600	-785220.0318532186	
87700	-785219.8986369018	
87800	-785221.3390033051	
87900	-785218.4261188038	
88000	-785218.7816214676	
88100	-785220.3404468913	
88200	-785221.401273063	
88300	-785221.8943758808	
88400	-785221.9891873396	
88500	-785220.4161442352	
88600	-785219.5904353034	
88700	-785219.5307375256	
88800	-785216.8765827471	
88900	-785216.3218148607	
89000	-785217.3709928474	
89100	-785205.6593949219	
89200	-785192.8241209724	
89300	-785190.1960404551	
89400	-785187.1226498679	
89500	-785187.3247437518	
89600	-785187.2636367455	
89700	-785186.3536992096	
89800	-785185.944059174	
89900	-785188.9141527109	
90000	-785190.1285886482	
90100	-785189.5641678387	
90200	-785183.8587647881	
90300	-785181.0480476981	
90400	-785176.0399784934	
90500	-785175.818504951	
90600	-785174.2309031251	
90700	-785174.6949376931	
90800	-785175.0456733631	
90900	-785180.6106457559	
91000	-785180.3292449473	
91100	-785156.6497856351	
91200	-785155.6158608807	
91300	-785156.0624384127	
91400	-785156.4811588327	
91500	-785158.8004485847	
91600	-785161.8560649066	
91700	-785161.933928255	
91800	-785156.187379178	
91900	-785156.3878887324	
92000	-785156.0612916229	
92100	-785153.9627234502	
92200	-785144.142757293	
92300	-785143.2572727147	
92400	-785136.4919337197	
92500	-785136.6004554743	
92600	-785135.6624745001	
92700	-785130.1447429502	
92800	-785126.0071592985	
92900	-785128.0979945362	
93000	-785128.029071703	
93100	-785128.2591880107	
93200	-785128.7216999435	
93300	-785128.1923560619	
93400	-785116.7884988629	
93500	-785118.9358956835	
93600	-785109.9978832654	
93700	-785110.6285886901	
93800	-785107.6910373663	
93900	-785103.9934225874	
94000	-785101.5376945044	
94100	-785103.0518557373	
94200	-785103.7642745837	
94300	-785103.0041422659	
94400	-785102.4209614175	
94500	-785103.1665454782	
94600	-785103.1003323218	
94700	-785102.4230466393	
94800	-785101.5644550276	
94900	-785099.6806724013	
95000	-785078.9265560927	
95100	-785078.1256679929	
95200	-785077.0228394448	
95300	-785076.7212617629	
95400	-785076.7615740852	
95500	-785076.2895018028	
95600	-785076.4065936898	
95700	-785076.3245998631	
95800	-785075.651940781	
95900	-785072.562041716	
96000	-785070.2721258063	
96100	-785070.9453992466	
96200	-785070.3784995241	
96300	-785070.3784995241	
96400	-785056.0388283919	
96500	-785057.3674618207	
96600	-785057.6727173313	
96700	-785057.6727173313	
96800	-785059.2655308608	
96900	-785058.7145475368	
97000	-785058.9434059336	
97100	-785058.2319233424	
97200	-785058.8121846939	
97300	-785058.440126497	
97400	-785059.7873920171	
97500	-785062.1279558621	
97600	-785062.0054147138	
97700	-785062.5536599495	
97800	-785056.1002547772	
97900	-785057.1875861742	
98000	-785050.2016866958	
98100	-785048.985057808	
98200	-785044.6514986828	
98300	-785044.5835398879	
98400	-785043.2120704947	
98500	-785043.7174483159	
98600	-785042.7929634687	
98700	-785040.2379021687	
98800	-785042.1746537206	
98900	-785044.0986060635	
99000	-785043.878712952	
99100	-785044.3739605326	
99200	-785043.7241708543	
99300	-785039.399329714	
99400	-785031.635568656	
99500	-785030.6038759067	
99600	-785032.3484137201	
99700	-785029.5655080336	
99800	-785028.5693076766	
99900	-785027.8587453301	
100000	-785028.1253623724	
