Sample	likelihood	
0	-785315.7921074526	
100	-880445.5923441852	
200	-954744.8191454771	
300	-1053770.4383669123	
400	-1065987.196519997	
500	-1134788.2864420176	
600	-1169759.1243635374	
700	-1191504.6898013868	
800	-1222696.1421075978	
900	-1271005.7448373465	
1000	-1334117.051383784	
1100	-1353069.4407287997	
1200	-1351276.9850356486	
1300	-1353684.0315266885	
1400	-1346993.1606213958	
1500	-1359527.1713601702	
1600	-1386112.179890042	
1700	-1378807.9280297165	
1800	-1421807.3471231249	
1900	-1415806.87307039	
2000	-1421967.9292184396	
2100	-1441057.4369321256	
2200	-1464939.7749184875	
2300	-1475713.192907305	
2400	-1476872.3672417672	
2500	-1508355.024885997	
2600	-1531958.086791604	
2700	-1528824.739674259	
2800	-1559302.1122722728	
2900	-1557892.8958487185	
3000	-1556211.8620264789	
3100	-1586541.341769388	
3200	-1596563.237614387	
3300	-1688497.2144028833	
3400	-1675535.0810292484	
3500	-1602912.0070588968	
3600	-1648083.441741693	
3700	-1572721.2712196142	
3800	-1538882.804279641	
3900	-1574437.7742474026	
4000	-1525742.7050354679	
4100	-1561462.0227346148	
4200	-1559368.5922826792	
4300	-1594652.1748832876	
4400	-1604064.074948931	
4500	-1569982.6735874456	
4600	-1561098.529366174	
4700	-1593107.047942034	
4800	-1596717.19719878	
4900	-1591218.1730520255	
5000	-1585354.5949751122	
5100	-1577003.4456314985	
5200	-1596233.2371268626	
5300	-1602697.8097932471	
5400	-1593048.722696517	
5500	-1594266.4276418115	
5600	-1602794.2696693281	
5700	-1597889.6271431856	
5800	-1627570.2904421063	
5900	-1626045.512451958	
6000	-1631806.6699637685	
6100	-1634025.7788325162	
6200	-1634882.6121140805	
6300	-1635867.9059930218	
6400	-1590061.065402946	
6500	-1566288.1352276278	
6600	-1553117.1209750476	
6700	-1549268.525126373	
6800	-1546083.5140602896	
6900	-1574069.611990805	
7000	-1576184.2890386218	
7100	-1539399.7453202265	
7200	-1544969.9539086309	
7300	-1549234.6201205007	
7400	-1554583.7775524901	
7500	-1554632.5032210674	
7600	-1618871.242001594	
7700	-1572361.1201173996	
7800	-1589626.5822063023	
7900	-1590883.1356694105	
8000	-1586751.4852678373	
8100	-1575472.6754783278	
8200	-1558624.2131930443	
8300	-1561237.4038139544	
8400	-1570288.1516876458	
8500	-1576346.2453452465	
8600	-1571456.1772877772	
8700	-1573588.022342206	
8800	-1579882.140031359	
8900	-1592976.2970997086	
9000	-1624597.72508651	
9100	-1609401.6824389757	
9200	-1603114.4494916778	
9300	-1606620.9658579098	
9400	-1595301.8322114884	
9500	-1614510.2655771251	
9600	-1592023.3910259379	
9700	-1620382.7679466363	
9800	-1589724.7550787472	
9900	-1581280.15807231	
10000	-1562425.245779999	
10100	-1540409.135429079	
10200	-1567914.6042248541	
10300	-1580840.5125986412	
10400	-1586051.8089036641	
10500	-1588244.7295936912	
10600	-1578414.9452483975	
10700	-1576771.5002698996	
10800	-1594840.0011521569	
10900	-1603705.1069415044	
11000	-1587016.2377407956	
11100	-1587851.0249908688	
11200	-1578479.2441451624	
11300	-1552599.0466614747	
11400	-1576728.9724809371	
11500	-1579038.157990095	
11600	-1608942.5147579135	
11700	-1595435.1157117556	
11800	-1604861.1734524358	
11900	-1592438.191904677	
12000	-1588886.9254807022	
12100	-1608268.498554785	
12200	-1588641.0413682628	
12300	-1571921.020696129	
12400	-1548661.3493037603	
12500	-1571002.4310297964	
12600	-1521224.7118388938	
12700	-1509083.9338089572	
12800	-1492342.656418821	
12900	-1480479.788706722	
13000	-1498484.1804493484	
13100	-1510966.325984764	
13200	-1515341.5839491726	
13300	-1535651.6374440005	
13400	-1532876.398699027	
13500	-1554004.3748045682	
13600	-1541601.8016945024	
13700	-1607996.6904307315	
13800	-1601936.2619729699	
13900	-1566021.7649840207	
14000	-1556146.4004086186	
14100	-1542932.8079161092	
14200	-1562516.5314699088	
14300	-1583607.6675793014	
14400	-1598044.093913825	
14500	-1608294.4417505586	
14600	-1748745.0213400943	
14700	-1798276.4338995598	
14800	-1772370.764186396	
14900	-1739526.9077963654	
15000	-1680600.8678003878	
15100	-1671756.994823502	
15200	-1647804.1515900178	
15300	-1643796.3341472351	
15400	-1647610.0824923126	
15500	-1623995.3519204846	
15600	-1572043.6468430015	
15700	-1580736.7856789283	
15800	-1548204.616986549	
15900	-1546963.228124621	
16000	-1542121.6357598242	
16100	-1542574.6441261882	
16200	-1551199.002315592	
16300	-1562004.3421514016	
16400	-1570486.4435010408	
16500	-1546786.6808052878	
16600	-1579241.3486996854	
16700	-1725727.7195983825	
16800	-1837306.106311976	
16900	-1860926.7690655466	
17000	-1701986.6679388995	
17100	-1697707.719553968	
17200	-1632341.8949172916	
17300	-1641745.8481979545	
17400	-1657860.4812539183	
17500	-1634482.0372039967	
17600	-1609205.064974763	
17700	-1592259.4860791308	
17800	-1542248.2402483015	
17900	-1541516.6434955047	
18000	-1530329.5416899389	
18100	-1544341.965669757	
18200	-1535733.7319273173	
18300	-1546344.5639653828	
18400	-1540040.9057056191	
18500	-1551613.482374771	
18600	-1530738.2655446953	
18700	-1568194.803613074	
18800	-1584595.8176566453	
18900	-1546700.0963526913	
19000	-1565979.1463405653	
19100	-1553849.238986028	
19200	-1559113.2298044	
19300	-1588786.6113987842	
19400	-1566543.8114286126	
19500	-1555394.0507849033	
19600	-1645723.8960969003	
19700	-1656313.778928749	
19800	-1623618.4981506425	
19900	-1639964.1479318498	
20000	-1596195.1769421052	
20100	-1588722.1196535458	
20200	-1581732.0533920021	
20300	-1592928.1008468776	
20400	-1568158.5479701275	
20500	-1551500.0680737053	
20600	-1538173.315073215	
20700	-1484928.722866312	
20800	-1461560.827047849	
20900	-1461647.5212308485	
21000	-1495998.3065573655	
21100	-1510640.3541299065	
21200	-1503592.630043346	
21300	-1513476.509337697	
21400	-1502696.1552761658	
21500	-1530998.1796656363	
21600	-1516031.1557066238	
21700	-1558186.032100834	
21800	-1540574.2797738668	
21900	-1545641.8020210974	
22000	-1526888.3952026074	
22100	-1539946.377832731	
22200	-1537650.8735570288	
22300	-1550733.1905802253	
22400	-1559021.9703346295	
22500	-1557029.174679395	
22600	-1545949.8799177324	
22700	-1536091.3095234754	
22800	-1542292.5990731616	
22900	-1537084.6058056797	
23000	-1542678.0022593574	
23100	-1538698.4784959941	
23200	-1583951.313951734	
23300	-1619174.536254015	
23400	-1564719.1729667035	
23500	-1560012.744469577	
23600	-1573371.3835235566	
23700	-1570270.0454359564	
23800	-1588240.116203404	
23900	-1551893.8434042297	
24000	-1553424.625229664	
24100	-1556705.022958151	
24200	-1567914.3725174123	
24300	-1583639.9038504192	
24400	-1574101.1384575674	
24500	-1559703.1617129378	
24600	-1567862.8036007693	
24700	-1580504.10776143	
24800	-1588476.0161158326	
24900	-1597645.4776557009	
25000	-1645154.4061511382	
25100	-1642518.0668858401	
25200	-1613302.8125755556	
25300	-1622024.9595431674	
25400	-1605311.6580285763	
25500	-1584756.687923494	
25600	-1587211.5439674007	
25700	-1623319.0609330656	
25800	-1603002.295041261	
25900	-1582969.6236692038	
26000	-1580896.495663993	
26100	-1559176.402345351	
26200	-1561712.0715077072	
26300	-1598689.0815441723	
26400	-1560272.9988571315	
26500	-1581655.1500445767	
26600	-1599351.7818384734	
26700	-1618785.867773464	
26800	-1619529.372511005	
26900	-1585050.2468022464	
27000	-1584498.7227631358	
27100	-1588406.2190614645	
27200	-1575799.4540870064	
27300	-1579927.739976728	
27400	-1598609.5101419464	
27500	-1569770.6490570297	
27600	-1573235.095561094	
27700	-1569654.1152650742	
27800	-1564870.7255417006	
27900	-1582668.0596875413	
28000	-1566332.3881913505	
28100	-1530819.0583782222	
28200	-1536389.2356608962	
28300	-1540017.9052967203	
28400	-1519449.2049936184	
28500	-1515097.710194099	
28600	-1502661.7763401615	
28700	-1503008.2095679096	
28800	-1509190.3848661159	
28900	-1511433.7238797683	
29000	-1541980.8902879735	
29100	-1586617.2692365493	
29200	-1580259.913319942	
29300	-1611563.9204283222	
29400	-1600685.8588761364	
29500	-1602389.7065200568	
29600	-1618877.9854667627	
29700	-1586472.2981094872	
29800	-1579048.1995674118	
29900	-1583332.0359705945	
30000	-1599921.2697821779	
30100	-1582215.255925056	
30200	-1570943.6799020667	
30300	-1632596.394398972	
30400	-1636166.679701672	
30500	-1634001.727712162	
30600	-1635909.9197293022	
30700	-1665732.315118819	
30800	-1695127.606051652	
30900	-1655699.1140855567	
31000	-1646888.9817235037	
31100	-1652944.031341049	
31200	-1662508.8015367365	
31300	-1748319.5123619987	
31400	-1760653.5676452755	
31500	-1736034.3079127423	
31600	-1628453.7875038895	
31700	-1616005.235979547	
31800	-1605990.9460092294	
31900	-1554539.9830572605	
32000	-1537490.1836020306	
32100	-1580362.8864258525	
32200	-1580537.2303714321	
32300	-1521762.5805124517	
32400	-1577123.9414107588	
32500	-1522068.5005223094	
32600	-1556188.2719553763	
32700	-1567532.8270423645	
32800	-1562870.32133626	
32900	-1601828.1122061226	
33000	-1587818.5080365578	
33100	-1546601.0320927384	
33200	-1579604.659539967	
33300	-1531806.341946401	
33400	-1535869.8224073693	
33500	-1503168.7820915673	
33600	-1512587.5486027421	
33700	-1528548.4232642786	
33800	-1554454.0845499868	
33900	-1516234.1258457482	
34000	-1497478.9959468583	
34100	-1492712.6037530068	
34200	-1486610.3726262422	
34300	-1516093.541239198	
34400	-1520774.5593050844	
34500	-1526539.877333248	
34600	-1515945.7605240769	
34700	-1564428.3856674654	
34800	-1551417.4876284187	
34900	-1553509.8616610577	
35000	-1562439.2130838763	
35100	-1558474.3727948437	
35200	-1565588.0457276113	
35300	-1536610.3797972936	
35400	-1554624.4745243224	
35500	-1577106.0319084546	
35600	-1526445.286310963	
35700	-1510260.9576829397	
35800	-1517845.464520006	
35900	-1506058.2750106994	
36000	-1492515.88279531	
36100	-1492098.0677943632	
36200	-1498483.4668416162	
36300	-1508213.6242090843	
36400	-1568522.7259606041	
36500	-1583617.6960177657	
36600	-1577409.661184434	
36700	-1585901.0721715374	
36800	-1574495.9039151364	
36900	-1547808.431272182	
37000	-1521509.6343777142	
37100	-1520062.5479419662	
37200	-1512933.9228071969	
37300	-1518423.5280134804	
37400	-1522088.6465318566	
37500	-1521633.126987187	
37600	-1529549.5137296189	
37700	-1607352.3382920902	
37800	-1585656.8145049864	
37900	-1608444.981574641	
38000	-1581112.6647350907	
38100	-1584828.3283397325	
38200	-1585304.119875551	
38300	-1559844.0417679138	
38400	-1581548.1980953908	
38500	-1541128.4624216529	
38600	-1563402.2569081571	
38700	-1565457.3250904959	
38800	-1561958.814072695	
38900	-1618326.0534754605	
39000	-1561416.7859623735	
39100	-1639131.1053105511	
39200	-1635395.571543351	
39300	-1615662.6515776177	
39400	-1574765.2200241948	
39500	-1568576.532370412	
39600	-1582241.7463595744	
39700	-1568003.9149761628	
39800	-1573001.1132346282	
39900	-1563175.9358900208	
40000	-1543997.3318559595	
40100	-1544995.882769236	
40200	-1552267.1433942574	
40300	-1585377.034657555	
40400	-1577827.047358388	
40500	-1571327.9401051672	
40600	-1578878.007419826	
40700	-1582346.6312680892	
40800	-1565700.102531796	
40900	-1585766.118963677	
41000	-1558967.5171029083	
41100	-1574698.1043556798	
41200	-1589081.1435958757	
41300	-1714415.6444167574	
41400	-1733261.8001256152	
41500	-1753104.2760857707	
41600	-1766269.9713780095	
41700	-1712618.8219521265	
41800	-1708086.7424003854	
41900	-1704436.4362795998	
42000	-1691627.9025899034	
42100	-1702695.5539110934	
42200	-1721386.3937369543	
42300	-1619225.625187941	
42400	-1544555.4089698188	
42500	-1547044.453273098	
42600	-1527491.0317350507	
42700	-1553576.3132482911	
42800	-1626002.6941248947	
42900	-1638467.9127258232	
43000	-1641015.4392187365	
43100	-1647955.4531311658	
43200	-1640309.6918703509	
43300	-1568811.1921886818	
43400	-1586937.8069757447	
43500	-1557462.339295821	
43600	-1569200.5027953591	
43700	-1558421.4389863797	
43800	-1572441.3283203102	
43900	-1562900.9869968465	
44000	-1573794.6924191543	
44100	-1566224.7276290322	
44200	-1558540.9116692767	
44300	-1528821.0349341885	
44400	-1505294.061591581	
44500	-1511291.5057469662	
44600	-1529898.8241702623	
44700	-1540223.031991513	
44800	-1543051.0289102083	
44900	-1531102.6092077058	
45000	-1512078.87622105	
45100	-1509045.813900547	
45200	-1501238.1727081805	
45300	-1486203.9037973403	
45400	-1516554.160821587	
45500	-1497609.4227226428	
45600	-1497543.7783680616	
45700	-1495968.1842745456	
45800	-1490823.7647568134	
45900	-1500886.4106405973	
46000	-1549791.9541701293	
46100	-1581385.638220423	
46200	-1624274.7807790067	
46300	-1574277.543741799	
46400	-1555368.510467976	
46500	-1560116.6593942174	
46600	-1565258.574062836	
46700	-1549986.648162008	
46800	-1540265.6174515344	
46900	-1553030.4608936072	
47000	-1512295.3419869407	
47100	-1505099.4592036842	
47200	-1509006.9937487093	
47300	-1506016.085655806	
47400	-1513728.3030029845	
47500	-1520530.5023667014	
47600	-1537736.5214957492	
47700	-1533199.2064960725	
47800	-1546259.5525667577	
47900	-1543456.98403294	
48000	-1549013.4040383317	
48100	-1560725.3289150542	
48200	-1560807.9354278583	
48300	-1572673.8470165983	
48400	-1561885.33115691	
48500	-1552605.545595493	
48600	-1561113.183482955	
48700	-1557563.571013454	
48800	-1548072.0210405476	
48900	-1562708.6051660727	
49000	-1580576.795573747	
49100	-1537647.9029784873	
49200	-1545940.5625727964	
49300	-1543963.878851048	
49400	-1542939.8142459793	
49500	-1545186.3916284952	
49600	-1544759.802416818	
49700	-1543911.5457713054	
49800	-1520714.0169596898	
49900	-1510601.9028430956	
50000	-1542136.4131393246	
50100	-1534307.202576731	
50200	-1524425.1864283301	
50300	-1517838.3280029357	
50400	-1529293.6999466969	
50500	-1524912.657565963	
50600	-1538126.1001341883	
50700	-1530339.0355365437	
50800	-1534420.1893877727	
50900	-1596751.1245550183	
51000	-1558939.515016995	
51100	-1586830.7758274327	
51200	-1621895.186349256	
51300	-1653336.169592331	
51400	-1661409.6962204587	
51500	-1693859.2879930662	
51600	-1908194.232689156	
51700	-1762231.9575645821	
51800	-1698028.021343672	
51900	-1696060.6508391495	
52000	-1704844.7821584106	
52100	-1692996.2907168416	
52200	-1684941.507436071	
